Location,Beds,Baths,Title,Added_Date,Price_thnds,Area_sqft
"Bahria Town - Sector E, Bahria Town",1,1,500 Square Feet Flat For sale In Bahria Town - Sector E Lahore In Only Rs. 6500000,Added: 12 hours ago,6500000.0,598.95
"Johar Town, Lahore",4,5,5 Marla House For Sale In Johar Town,Added: 12 hours ago,25800000.0,1361.25
"Bahria Town - Sector E, Bahria Town",1,1,Get In Touch Now To Buy A Flat In Lahore,Added: 12 hours ago,7000000.0,598.95
"Gulberg 3, Gulberg",3,4,"SUPER HOT, SUPER COOL, SUPER LOCATION FLAT IN GULBERG 3, LAHORE CBD",Added: 2 hours ago,55000000.0,2423.025
"DHA Phase 6, DHA Defence",7,7,PHASE 6 2-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH SWIMMING POOL AND HOME THEATRE IS AVAILABLE FOR SALE.,Added: 2 hours ago,285000000.0,10890.0
"DHA Phase 6, DHA Defence",7,7,PHASE 6 2-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH SWIMMING POOL AND HOME THEATRE IS AVAILABLE FOR SALE.,Added: 2 hours ago,290000000.0,10890.0
"DHA Phase 6, DHA Defence",7,7,PHASE 6 2-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH SWIMMING POOL AND HOME THEATRE IS AVAILABLE FOR SALE.,Added: 2 hours ago,295000000.0,10890.0
"DHA Phase 8 - Ex Park View, DHA Phase 8",4,5,AMBER DESIGN 10-MARLA BUNGALOW NEARBY PARK IS AVAILABLE FOR SALE IN C BLOCK OF PHASE 8 EX-PARK VIEW DHA LAHORE.,Added: 2 hours ago,47000000.0,2722.5
"Eden Avenue, Eden",4,5,12-MARLA BUNGALOW IS AVAILABLE FOR SALE IN THE BEST BLOCK OF EDEN AVENUE NEAR DHA LAHORE.,Added: 2 hours ago,38000000.0,3267.0
"DHA 9 Town - Block A, DHA 9 Town",3,4,5-MARLA BRAND NEW BUNGALOW IS AVAILABLE FOR SALE IN THE BEST BLOCK OF PHASE 9 TOWN DHA LAHORE.,Added: 2 hours ago,21500000.0,1361.25
"DHA Phase 7 - Block S, DHA Phase 7",6,7,PHASE 7 1-KANAL BRAND NEW FULL BASEMENT BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,92500000.0,5445.0
"DHA Phase 7, DHA Defence",6,7,"Swimming Pool, Home Theater 1 Kanal Full Basement, Full Furnished Luxury Bungalow for Sale",Added: 2 days ago,137500000.0,5445.0
"DHA Phase 6, DHA Defence",5,6,Near to KFC 1 Kanal Full Furnished Modern Bungalow For Sale Phase 6 DHA Lahore,Added: 2 days ago,105000000.0,5445.0
,,,,,23000000.0,
"Park View City, Lahore",4,4,1-3 Years Instalment Plan solid Build 5 Marla Modern House Available In Park View City Lahore,Added: 2 days ago,17500000.0,1361.25
"DHA Phase 7 - Block S, DHA Phase 7",5,6,1 Kanal Top Quality Build Luxurious Beautiful Modern Design Villa With Basement For Sale In DHA Lahore Phase 7 Prime Location,Added: 2 days ago,70500000.0,5445.0
,,,,,16100000.000000002,
"Askari 10 - Sector S, Askari 10",4,4,12 Marla 04 Bedroom Apartment Available For Sale In Askari 10 sector S Lahore Cantt,Added: 2 days ago,43500000.0,3267.0
"DHA Phase 6, DHA Defence",5,6,NEARE DHA RAYA 1 KANAL ELEGANT BRAND NEW HOUSE FOR NEAR PARK,Added: 1 day ago,89900000.0,5445.0
"Park View City - Tulip Overseas, Park View City",4,5,5 Marla Brand New House Available For Sale In Tulip Overseas Block In Park View City Lahore,Added: 2 days ago,23000000.0,1361.25
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",5,6,DHA Phase 8.1kanal Brand New Luxury Bungalow,Added: 2 days ago,85000000.0,5445.0
"Bahria Town - Sector A, Bahria Town",4,5,1 Kanal House Is Available For Sale In Bahria Town Sector A Lahore,Added: 2 days ago,62000000.0,5445.0
"Jubilee Town, Lahore",1,1,2.5 Marla Flat For Sale At Very Prime Location In Jubilee Town,Added: 2 days ago,8000000.0,680.625
"Park View City, Lahore",4,5,3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,Added: 10 hours ago,15000000.0,1361.25
"Park View City, Lahore",4,4,1-3 Years Instalment Plan solid Build 05 Marla Modern House Available In Park View City Lahore,Added: 10 hours ago,17500000.0,1361.25
"DHA Phase 6, DHA Defence",5,6,One + One Full Basement With Pool Full Furnished Near Dolmen Mall,Added: 13 hours ago,147500000.0,10890.0
"DHA Phase 6, DHA Defence",5,6,"Very Reasonable""1 Kanal Modern House simple decent interior In DHA PHASE 6",Added: 13 hours ago,86500000.0,5445.0
"DHA Phase 7, DHA Defence",5,6,Luxury 1 Kanal Bungalow Near Park & Main Boulevard.,Added: 13 hours ago,72500000.0,5445.0
"DHA Phase 6, DHA Defence",7,7,Exclusive 2 Kanal Bungalow with Pool & Grand Architecture DHA Lahore,Added: 13 hours ago,276500000.0,10890.0
"DHA Phase 6 - Block K, DHA Phase 6",6,6,Luxury 1 Kanal Fully Furnished Spanish Villa for Sale in DHA Lahore Near Doleman mall,Added: 13 hours ago,112500000.0,5445.0
"DHA Phase 6, DHA Defence",7,7,PHASE 6 2-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH SWIMMING POOL AND HOME THEATRE IS AVAILABLE FOR SALE.,Added: 2 hours ago,240000000.0,10890.0
"DHA Phase 6, DHA Defence",7,7,PHASE 6 2-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH SWIMMING POOL AND HOME THEATRE IS AVAILABLE FOR SALE.,Added: 2 hours ago,275000000.0,10890.0
"DHA Phase 6, DHA Defence",7,7,PHASE 6 2-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH SWIMMING POOL AND HOME THEATRE IS AVAILABLE FOR SALE.,Added: 2 hours ago,270000000.0,10890.0
"DHA Phase 6, DHA Defence",7,7,PHASE 6 2-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH SWIMMING POOL AND HOME THEATRE IS AVAILABLE FOR SALE.,Added: 2 hours ago,265000000.0,10890.0
"DHA Phase 6, DHA Defence",7,7,PHASE 6 2-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH SWIMMING POOL AND HOME THEATRE IS AVAILABLE FOR SALE.,Added: 2 hours ago,260000000.0,10890.0
"DHA Phase 6, DHA Defence",7,7,PHASE 6 2-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH SWIMMING POOL AND HOME THEATRE IS AVAILABLE FOR SALE.,Added: 2 hours ago,255000000.0,10890.0
"DHA Phase 6, DHA Defence",7,7,PHASE 6 2-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH SWIMMING POOL AND HOME THEATRE IS AVAILABLE FOR SALE.,Added: 2 hours ago,250000000.0,10890.0
"DHA Phase 7, DHA Defence",6,7,PHASE 7 1-KANAL BRAND NEW FULL BASEMENT BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,105000000.0,5445.0
"DHA Phase 5 - Block G, DHA Phase 5",6,6,1 Kanal Full Basement Used House With 100% Original Pictures,Added: 2 days ago,87500000.0,5445.0
"Askari 10 - Sector F, Askari 10",3,3,10 Marla 3 Bedroom Apartment Available For Sale In Askari 10 Sector F Lahore,Added: 2 days ago,32000000.0,2722.5
,,,,,23000000.0,
"Bahria Town - Nishtar Block, Bahria Town - Sector E",1,1,One Bed Ready to Move Apartment Available For Sale In Nishtar Block Sector E Bahria Town,Added: 2 days ago,6800000.0,653.4
"Bahria Town - Sector E, Bahria Town",2,2,Ready-to-Move 2 Bedroom Apartments For Sale in Bahria Town Lahore,Added: 2 days ago,12100000.0,898.425
,,,,,16100000.000000002,
"Nasheman-e-Iqbal Phase 2 - Block B, Nasheman-e-Iqbal Phase 2",7,6,Get In Touch Now To Buy A Prime Location House In Nasheman-E-Iqbal Phase 2 - Block B Lahore,Added: 2 days ago,77500000.0,5445.0
"Bismillah Housing Scheme - Hussain Block, Bismillah Housing Scheme",,,On Excellent Location 5 Marla House For sale In Rs. 24500000 Only,Added: 2 days ago,24500000.0,1361.25
"DHA Phase 7, DHA Defence",5,5,Modern Deisgned Luxury Furnished 1 Kanal House in Phase 7,Added: 2 days ago,85000000.0,5445.0
"Lake City Meadows, Lahore",4,5,Most Beautiful 10 Marla Modern House At Prime Location,Added: 2 days ago,35000000.0,2722.5
"DHA Phase 6 - Block J, DHA Phase 6",6,7,"100% Original Add A Peimming Perfect Place To Call Home, Swimming Pool Home Theater Fully Firnished House For Sale",Added: 2 days ago,225000000.0,5445.0
"Al-Ahmad Garden Housing Scheme, GT Road",3,4,A House Of 3 Marla In Al-Ahmad Garden Housing Scheme,Added: 2 days ago,11000000.0,816.75
"DHA Phase 6, DHA Defence",4,,5 MARLA BRAND NEW WELL DESIGN HOUSE FOR SALE IN DHA PHASE 6,Added: 10 hours ago,26500000.0,1361.25
"DHA 9 Town, DHA Defence",3,4,BRAND NEW LUXURY ULTRA MODERN DESIGN HOUSE FOR SALE IN DHA PHASE 9 TOWN,Added: 10 hours ago,24500000.0,1361.25
"Nespak Scheme Phase 3, Defence Road",5,5,House For Sell,Added: 13 hours ago,19000000.0,1361.25
"Zameen Opal, Land Breeze Housing Society",2,2,2 Bed Apartment For Sale In Opal | 1st Floor | 1054 Sq Ft,Added: 13 hours ago,21600000.0,1279.575
"Zameen Opal, Land Breeze Housing Society",,1,Studio Luxury Apartment Available For Sale In   Zameen Opal Building Second Floor Sale By Fast Property Services,Added: 13 hours ago,10000000.0,490.05
"Johar Town, Lahore",6,6,12 MARLA Brand New Ultra Modern Style Luxury Double Storey Double Unit House Available For Sale In Johar Town Phase I Lahore By Fast Property Services,Added: 13 hours ago,69800000.0,3267.0
"Central Park Housing Scheme, Lahore",5,6,10 Marla Investor Rate House For Sale,Added: 13 hours ago,36000000.0,2722.5
"DHA Phase 7, DHA Defence",6,7,PHASE 7 1-KANAL BRAND NEW FULL BASEMENT BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,104900000.0,5445.0
"DHA Phase 7, DHA Defence",6,7,PHASE 7 1-KANAL BRAND NEW FULL BASEMENT BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,102500000.0,5445.0
"DHA Phase 7, DHA Defence",6,7,PHASE 7 1-KANAL BRAND NEW FULL BASEMENT BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,100000000.0,5445.0
"DHA Phase 7, DHA Defence",6,7,PHASE 7 1-KANAL BRAND NEW FULL BASEMENT BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,99900000.0,5445.0
"DHA Phase 7, DHA Defence",6,7,PHASE 7 1-KANAL BRAND NEW FULL BASEMENT BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,97500000.0,5445.0
"DHA Phase 7, DHA Defence",6,7,PHASE 7 1-KANAL BRAND NEW FULL BASEMENT BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,94900000.0,5445.0
"DHA Phase 7, DHA Defence",6,7,PHASE 7 1-KANAL BRAND NEW FULL BASEMENT BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,95000000.0,5445.0
"DHA Phase 7, DHA Defence",6,7,PHASE 7 1-KANAL BRAND NEW FULL BASEMENT BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,92500000.0,5445.0
"DHA 9 Town, DHA Defence",3,4,5 MARLA BRAND NEW UNIQUE &Amp; STYLISH HOUSE FOR SALE,Added: 2 days ago,21000000.0,1361.25
"Paragon City, Lahore",5,6,Brand New 10 Marla Modern House in Paragon City,Added: 2 days ago,55000000.0,2722.5
,,,,,28800000.0,
"Airline Housing Society, Lahore",6,7,10 Marla Brand New Spanish House for Sale in Airline Society Near to UCP Hot Location,Added: 2 days ago,45000000.0,2722.5
"DHA Phase 6, DHA Defence",5,6,ULTRA TOP-NOTCH BUNGALOW | DHA PHASE 6 | SMALL SWIMMING POOL IN BATHROOM | PRIME LOCATION | 70 FEET ROAD | 100% ORIGINAL DEAL,Added: 2 days ago,83200000.0,5445.0
,,,,,8209999.999999999,
"DHA Phase 7 - Block W, DHA Phase 7",5,6,ULTRA LUXURY TOP-NOTCH BUNGALOW | DHA PHASE 7 | BACK OF RAYA FAIR WAYS| HOT LOCATION | WHERE LUXURY MEETS COMFORT | 100% ORIGINAL DEAL,Added: 2 days ago,72900000.0,5445.0
"Al-Ahmad Garden Housing Scheme, GT Road",4,5,Affordable House Of 5 Marla Is Available For sale,Added: 2 days ago,21000000.0,1361.25
"DHA Phase 7, DHA Defence",4,4,10 Marla Brand New Modern House Available For Sale In DHA Phase 7,Added: 2 days ago,43500000.0,2722.5
"DHA 9 Town, DHA Defence",3,4,5 Marla House For Sale In DHA Phase 9 Town Prime Location & Ready To Move,Added: 2 days ago,21000000.0,1361.25
"Bahria Orchard Phase 4 - Block G5, Bahria Orchard Phase 4",5,5,10 MARLA HOUSE FOR SALE IN BAHRIA ORCHARD LAHORE,Added: 2 days ago,24000000.0,2722.5
"Audit & Accounts Phase 2, Audit & Accounts Housing Society",,3,Triple Storey House For Sale Audit & Accounts Phase 2 Lahore,Added: 2 days ago,12500000.0,1089.0
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",4,5,BRAND NEW LUXURY ULTRA MODERN DESIGN HOUSE FOR SALE IN DHA PHASE 8,Added: 10 hours ago,37500000.0,2722.5
"DHA Phase 7, DHA Defence",5,6,1 KANAL BRAND NEW LUXURY ULTRA MODERN DESIGN HOUSE FOR SALE,Added: 11 hours ago,71500000.0,5445.0
"DHA Phase 7 - Block T, DHA Phase 7",5,6,1 Kanal Semi Furnished Modern House For Sale In DHA Phase 7 Near Carrefour,Added: 13 hours ago,100000000.0,5445.0
"Dream Gardens, Defence Road",1,1,Studio Apartment NON Furnished For Sale on Easy Instalments in Dream Gardens Lahore,Added: 14 hours ago,6100000.0,381.15
"DHA Phase 7 - Block Q, DHA Phase 7",5,6,1 Kanal Brand New Unique Design Bungalow For Sale In DHA Phase 7 Ideal Location,Added: 14 hours ago,64500000.0,5445.0
"DHA Phase 6 - Block A, DHA Phase 6",5,7,Owner Built Bungalow Near Park & Mosque | DHA Phase 6 | 3 Min Drive to Dolmen Mall,Added: 14 hours ago,49500000.0,2722.5
"DHA 9 Town - Block A, DHA 9 Town",5,7,"Prime Location DHA 9 Bungalow 10 Marla, 5 Min from Dolmen Mall & Ring Road",Added: 14 hours ago,46500000.0,2722.5
"DHA Phase 7, DHA Defence",6,7,PHASE 7 1-KANAL BRAND NEW FULL BASEMENT BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,90000000.0,5445.0
"DHA Phase 7, DHA Defence",5,6,PHASE 7 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,89900000.0,5445.0
"DHA Phase 7, DHA Defence",5,6,PHASE 7 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,87500000.0,5445.0
"DHA Phase 7, DHA Defence",5,6,PHASE 7 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,85000000.0,5445.0
"DHA Phase 7, DHA Defence",5,6,PHASE 7 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,84900000.0,5445.0
"DHA Phase 7, DHA Defence",5,6,PHASE 7 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,82500000.0,5445.0
"DHA Phase 7, DHA Defence",5,6,PHASE 7 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,80000000.0,5445.0
"DHA Phase 7, DHA Defence",5,6,PHASE 7 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,79900000.0,5445.0
"Bahria Town - Jasmine Block, Bahria Town - Sector C",5,6,1 KANAL ULTRA LUXURY HOUSE FOR SALE IN JASMINE BLOCK SECTOR C BAHRIA TOWN LAHORE,Added: 2 days ago,80000000.0,5445.0
"DHA Phase 6 - Block N, DHA Phase 6",5,6,ULTRA TOP-NOTCH A+ QUALITY HOME | DHA PHASE 6 | NEAR RAYA FAIRWAYS | 28 KV SOLAR | WALKING DISTANCE FROM PARK | 100% ORIGINAL DEAL,Added: 2 days ago,82500000.0,5445.0
,,,,,28800000.0,
"DHA Phase 7, DHA Defence",6,6,ULTRA LUXURY TOP-NOTCH UK STYLE MODERN HIGH-END BUNGALOW WITH SWIMMING POOL DHA PHASE 7 NEAR RAYA FAIRWAYS 70 FEET ROAD WALKING DISTANCE FROM PARK 100% ORIGINAL DEAL,Added: 2 days ago,77500000.0,5445.0
"DHA Phase 6 - Block L, DHA Phase 6",5,6,ULTRA TOP-NOTCH A+ QUALITY HOME | DHA PHASE 6 | NEAR RAYA FAIRWAYS | 28 KV SOLAR | WALKING DISTANCE FROM PARK | 100% ORIGINAL DEAL,Added: 2 days ago,87500000.0,5445.0
,,,,,15700000.0,
"DHA 9 Town, DHA Defence",3,4,5 Marla Out Class Stylish Luxury Bungalow For sale In DHA Phase 9 Town Lahore defence,Added: 2 days ago,21500000.0,1361.25
"Formanites Housing Scheme, Lahore",3,4,Formanites Society Nazr To DHA Phase 5 Hot Location Naraz To Park And Masjid Airport 20 Minute Drive,Added: 2 days ago,15000000.0,1361.25
"DHA Phase 7, DHA Defence",4,5,10 Marla Beautiful House for Sale in Prime Location,Added: 2 days ago,45500000.0,2722.5
"Bahria Orchard, Lahore",3,3,5 Marla House for Sale | 3 Bedrooms with Attached Baths | Prime Location | Ideal Family Home,Added: 2 days ago,9900000.0,1361.25
"Pak Arab Housing Society Phase 2 - Block Vital AA, Pak Arab Housing Society Phase 2",3,4,Idyllic Prime Location House Available In Pak Arab Housing Society Phase 2 - Block Vital AA For sale,Added: 2 days ago,13500000.0,816.75
"Lake City, Raiwind Road",4,5,5 Marla Brand New House For Sale In Lake City Raiwind Road Lahore,Added: 2 days ago,30000000.0,1361.25
"DHA Phase 5 - Block K, DHA Phase 5",5,6,1 KANAL BRAND NEW ULTRA MODERN DESIGN HOUSE FOR SALE,Added: 11 hours ago,89500000.0,5445.0
"DHA Phase 6 - Block K, DHA Phase 6",5,6,1 KANAL BRAND NEW ULTRA MODERN DESIGN HOUSE FOR SALE,Added: 11 hours ago,85700000.0,5445.0
"DHA 9 Town - Block A, DHA 9 Town",4,5,6.5 MARLA WITH FOUR BEDROOMS NEAR PARK MOSQUE AND EASY APPROCH THROUGH MAIN ROAD FIVE MINUTE DRIVE FROM DOLMEN MALL,Added: 14 hours ago,27500000.0,1769.625
"DHA 9 Town, DHA Defence",3,4,ZERO Electricity Bill ! CORNER HOUSE FOR SALE,Added: 14 hours ago,23500000.0,1361.25
"Bahria Town - Block AA, Bahria Town - Sector D",3,4,5 Marla Brand New House For Sale In AA Block Bahria Town Lahore,Added: 14 hours ago,21000000.0,1361.25
"DHA Phase 5 - Block K, DHA Phase 5",4,4,10 Marla Facing Park Modern House in DHA Phase 5 FOR SALE,Added: 16 hours ago,53500000.0,2722.5
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",4,4,10 Marla Modern Designed House In DHA Phase 8 EX Air Avenue Gate Society in DHA,Added: 16 hours ago,44000000.0,2722.5
"DHA Phase 7, DHA Defence",5,6,PHASE 7 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,77500000.0,5445.0
"DHA Phase 7, DHA Defence",5,6,PHASE 7 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,75000000.0,5445.0
"DHA Phase 7, DHA Defence",5,6,PHASE 7 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,74900000.0,5445.0
"DHA Phase 6, DHA Defence",6,7,PHASE 6 1-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,122500000.0,5445.0
"DHA Phase 6, DHA Defence",6,7,PHASE 6 1-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,120000000.0,5445.0
"DHA Phase 6, DHA Defence",6,7,PHASE 6 1-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,124900000.0,5445.0
"DHA Phase 6, DHA Defence",6,7,PHASE 6 1-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,125000000.0,5445.0
"DHA Phase 6, DHA Defence",6,7,PHASE 6 1-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,119900000.0,5445.0
"Bahria Town - Iqbal Block, Bahria Town - Sector E",1,1,Ready To Move Apartment For Sale In Iqbal Block Sector E Bahria Town Lahore,Added: 2 days ago,6500000.0,490.05
"Central Park Housing Scheme, Lahore",5,6,Low price house 10 Marla,Added: 2 days ago,35000000.0,2722.5
,,,,,28800000.0,
"EME Society - Block D, EME Society",5,6,Buying A House In EME Society - Block D?,Added: 2 days ago,132500000.0,5445.0
"PIA Housing Scheme, Lahore",5,6,10 Marla Spanish House At Hot Location For Sale In PIA Society,Added: 2 days ago,48000000.0,2722.5
,,,,,3899000.0,
"OPF Housing Scheme, Lahore",5,6,1 Kanal Brand New Luxury House Facing Park Direct Approach To Main Road House For Sale In OPF Society,Added: 2 days ago,73500000.0,5445.0
"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",3,4,5 Marla Brand New Ultra Modern Designer House For Sale In DHA Rahber Sector 2 Hot Location,Added: 2 days ago,26000000.0,1361.25
"DHA Phase 6, DHA Defence",7,7,SUPER ROYAL 2 KANAL SPAINISH DESIGN HOUSE IS UP FOR SALE NEAR DHA RAYA LAHORE,Added: 2 days ago,570000000.0,10890.0
"MM Alam Road, Gulberg",2,3,Brand New Luxurious 4 Beds Apartment Study Jacuzzi Bath,Added: 2 days ago,54000000.0,2668.05
"Low Cost - Block E, Low Cost Sector",3,3,5 Marla Brand New Hose For Sale E Block In Bahria Orchard Lahore,Added: 2 days ago,16500000.0,1361.25
"Nadirabad, Cantt",4,4,A House Of 5 Marla In Rs. 21500000,Added: 2 days ago,21500000.0,1361.25
"DHA 9 Town - Block C, DHA 9 Town",3,4,Brand New 5 Marla House For Sale Modern Elegance & Premium Finishes!,Added: 11 hours ago,23200000.0,1361.25
"Bahria Town - Block BB, Bahria Town - Sector D",3,5,05 Marla Corner House For Sale At Prime Location Cheapest Price,Added: 11 hours ago,23600000.0,1361.25
"DHA Phase 7, DHA Defence",5,5,Modern Designed 1 Kanal House For Sale NOW In DHA Phase 7,Added: 16 hours ago,69900000.0,5445.0
"DHA Phase 7 - Block P, DHA Phase 7",5,5,Double Height Lobby Designed 1 Kanal House in Phase 7,Added: 16 hours ago,71000000.0,5445.0
"DHA Phase 7, DHA Defence",4,4,Modern Designed 10 Marla House In DHA Phase 7 AT Reasonable Price,Added: 16 hours ago,42800000.0,2722.5
"DHA Phase 7, DHA Defence",5,5,Facing Park Modern 1 Kanal Top Designed House In Phase 7,Added: 16 hours ago,73500000.0,5445.0
"DHA Phase 7, DHA Defence",5,5,Furnished 1 Kanal Spanish Bungalow In DHA Phase 7 For SALE,Added: 16 hours ago,76000000.0,5445.0
"DHA Phase 6, DHA Defence",6,7,PHASE 6 1-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,117500000.0,5445.0
"DHA Phase 6, DHA Defence",6,7,PHASE 6 1-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,115000000.0,5445.0
"DHA Phase 6, DHA Defence",6,7,PHASE 6 1-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,114900000.0,5445.0
"DHA Phase 6, DHA Defence",6,7,PHASE 6 1-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,112500000.0,5445.0
"DHA Phase 6, DHA Defence",6,7,PHASE 6 1-KANAL BRAND NEW FULL BASEMENT FULLY FURNISHED BUNGALOW WITH 6 BEDROOMS IS AVAILABLE FOR SALE.,Added: 2 hours ago,110000000.0,5445.0
"DHA Phase 6, DHA Defence",5,6,PHASE 6 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,97500000.0,5445.0
"DHA Phase 6, DHA Defence",5,6,PHASE 6 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,95000000.0,5445.0
"DHA Phase 6, DHA Defence",5,6,PHASE 6 1-KANAL BRAND NEW FULLY MAINTAINED BUNGALOW IS AVAILABLE FOR SALE.,Added: 2 hours ago,94900000.0,5445.0
"Bahria Town - Sector B, Bahria Town",,,Studio Apartment for Sale in Madina Heights 4 6th Floor with Wonderful Views | Bahria Town Lahore,Added: 2 days ago,5600000.0,326.7
"DHA Phase 6, DHA Defence",5,6,Spanish Designed Beautiful House For Sale In Phase 6 DHA Lahore,Added: 2 days ago,100000000.0,5989.5
,,,,,23000000.0,
"DHA Phase 6, DHA Defence",5,6,Richmoor Presents New Spanish Designed Beautiful House For Sale In Dha Lahore,Added: 2 days ago,99000000.0,5445.0
"DHA Phase 6, DHA Defence",7,7,BRAND NEW 2-KANAL ELEGANT AND SUPER HOT LOCATED FUNSIHED BUNGALOW WITH FULL BASEMENT IS AVAILABLE IN THE BEST BLOCK OF DHA LAHORE.,Added: 2 days ago,650000000.0,10890.0
,,,,,9750000.0,
"DHA Phase 6 - Block E, DHA Phase 6",6,7,"FULL BASEMENT FULLY FURNISHED BRAND NEW 2 KANAL MODERN DESIGN SUPER HOT LOCATED BUNGALOW WITH POOL, HOME THEATRE AND GYM IS AVAILABLE IN THE E BLOCK OF DHA PHASE 6 LAHORE.",Added: 2 days ago,377500000.0,10890.0
"DHA Phase 6 - Block D, DHA Phase 6",6,6,Get In Touch Now To Buy A 1 Kanal House In DHA Phase 6 - Block D Lahore,Added: 2 days ago,165000000.0,5445.0
"Bahria Town - Sector E, Bahria Town",2,2,1300 sq ft 2 Bed Apartment eiffel view from terrace most luxurious plaza in bahria best location (real ad),Added: 2 days ago,20000000.0,1579.05
"Bahria Town - Sector C, Bahria Town",1,1,Luxury Chen One Hotel Apartments Between Grand Mosque And Country Club (Real Ad) installment available,Added: 2 days ago,10000000.0,598.95
