Location,Beds,Baths,Title,Added_Date,Price_thnds,Area_sqft
"Central Park Housing Scheme, Lahore",3,3,"Brand New 5 Marla Luxury House for Sale in Central Park Housing Scheme, Lahore",Added: 36 minutes ago,21500000.0,1361.25
"DHA Phase 5, DHA Defence",4,5,"Prime Location Beautiful 10 Marla Fully Renovated House Available In DHA Phase 5, L Block (Near Playground)",Added: 44 minutes ago,55500000.0,2722.5
"Sabzazar Scheme, Lahore",3,3,Gorgeous 788 Square Feet House For Sale Available In Sabzazar Scheme,Added: 3 hours ago,14000000.0,952.875
"Allama Iqbal Town, Lahore",6,6,10 Marlah Ultra Modren like a Brand new house for sale,Added: 3 hours ago,64500000.0,2722.5
"Park View City, Lahore",4,5,3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,Added: 22 minutes ago,16000000.0,1361.25
"Park View City, Lahore",5,6,3 Years Installment Plan Luxury 10 Marla Brand New House In Park View City Lahore,Added: 23 minutes ago,31500000.0,2722.5
"DHA Phase 6 - Block L, DHA Phase 6",6,7,Fully Basement 6-Bed With Luxury Swimming Pool 1 Year Slightly Used Double Unit Bungalow For Sale At Top Location Near To DHA Raya,Added: 24 minutes ago,232500000.0,10890.0
"DHA 9 Town - Block D, DHA 9 Town",4,4,8 Marla Brand New House For Sale,Added: 30 minutes ago,42500000.0,2178.0
"DHA Phase 6, DHA Defence",6,6,1 Kanal Brand New House For Sale,Added: 30 minutes ago,170000000.0,5445.0
"Paragon City, Lahore",5,6,10 Marla House For Sale In Paragon City Lahore,Added: 31 minutes ago,52000000.0,2722.5
"DHA Phase 6 - Block M, DHA Phase 6",5,5,1 Kanal Brand New House For Sale,Added: 31 minutes ago,130000000.0,5445.0
"DHA Phase 8 - Block W, DHA Phase 8",5,5,1 Kanal Brand New House For Sale,Added: 31 minutes ago,150000000.0,5445.0
"DHA Phase 6 - Block J, DHA Phase 6",5,6,FULLY BASEMENT BRAND NEW HOUSE LAVISH ELEGANT BEAUTIFUL TOP OF LINE BUNGALOW FOR SALE IN DHA PHASE 6,Added: 11 hours ago,89900000.0,5445.0
"DHA Phase 6, DHA Defence",6,6,FULLY Basement 6-Bed With Luxury Swimming Pool House For Sale Near To DHA Raya,Added: 11 hours ago,210000000.0,10890.0
,,,,,28800000.0,
"Metro City, GT Road",3,4,Brand New 3 Marla Double Unit House For Sale,Added: 12 hours ago,9500000.0,816.75
"DHA Phase 6, DHA Defence",7,7,"Exquisite 2 Kanal Faisal Rasul Signature Design Bungalow In Phase 6 With Full Basement, Pool, And Home Theater Near Raya Fairways For Sale",Added: 12 hours ago,519000000.0,10890.0
,,,,,18000000.0,
"DHA Phase 2, DHA Defence",5,6,1 Kanal Well Maintained Modern Bungalow For Sale In Phase 2 DHA,Added: 12 hours ago,66000000.0,5445.0
"DHA Phase 7, DHA Defence",5,5,2 Mint Away From Park 1 Kanal Modern House In DHA Phase 7,Added: 12 hours ago,72200000.0,5445.0
"Johar Town, Lahore",5,6,1 Kanal House For Sale In Johar Town,Added: 12 hours ago,60000000.0,5445.0
"Bahria Town - Sector E, Bahria Town",5,5,Bahria Town - Sector E House Sized 10 Marla,Added: 12 hours ago,35000000.0,2722.5
"Al-Kabir Town - Phase 2, Al-Kabir Town",3,4,3 Marla   Platinum Homes For Sale In Al Kabir Town Phase 2 Lahore,Added: 13 hours ago,11100000.000000002,816.75
"Airline Housing Society, Lahore",5,6,1 Kanal BRAND NEW LUXURY ULTRA MODERN STYLE STYLISH House Double Storey Double Unit Luxury House Available For Sale In Airline Housing Society Lahore,Added: 13 hours ago,93800000.00000001,5445.0
"DHA Phase 6, DHA Defence",5,6,2 KANAL FULL FURNISHED MODERN BUNGALOW FOR SALE NEAR RAYA PHASE 6,Added: 1 hour ago,265000000.0,10890.0
